timestamp,avail (mebibytes),anomaly%,annotations
1755920298000,6457.367,-,-
1755920299000,6458.777,-,-
1755920300000,6459.172,-,-
1755920301000,6458.82,-,-
1755920302000,6458.973,-,-
1755920303000,6458.391,-,-
1755920304000,6457.766,-,-
1755920305000,6457.875,-,-
1755920306000,6457.668,-,-
1755920307000,6456.547,-,-
1755920308000,6456.355,-,-
1755920309000,6455.883,-,-
1755920310000,6454.949,-,-
1755920311000,6453.496,-,-
1755920312000,6455.215,-,-
1755920313000,6455.898,-,-
1755920314000,6456.18,-,-
1755920315000,6456.938,-,-
1755920316000,6456.828,-,-
1755920317000,6456.406,-,-
1755920318000,6456.066,-,-
1755920319000,6456.148,-,-
1755920320000,6455.68,-,-
1755920321000,-,-,-
1755920322000,-,-,-
1755920323000,-,-,-
1755920324000,6454.473,-,-
1755920325000,6453.25,-,-
1755920326000,6455.531,-,-
1755920327000,6455.355,-,-
1755920328000,6455.152,-,-
1755920329000,6456.191,-,-
1755920330000,6456.727,-,-
1755920331000,6455.879,-,-
1755920332000,6456.191,-,-
1755920333000,6456.113,-,-
1755920334000,6454.949,-,-
1755920335000,6456.094,-,-
1755920336000,6456.043,-,-
1755920337000,6456.133,-,-
1755920338000,6457.207,-,-
1755920339000,6457.566,-,-
1755920340000,6457.391,-,-
1755920341000,6458.262,-,-
1755920342000,6457.453,-,-
1755920343000,6456.922,-,-
1755920344000,6455.562,-,-
1755920345000,6453.812,-,-
1755920346000,6457.238,-,-
1755920347000,6456.652,-,-
1755920348000,6456.562,-,-
1755920349000,6456.852,-,-
1755920350000,6456.523,-,-
1755920351000,6456.09,-,-
1755920352000,6456.242,-,-
1755920353000,6456.809,-,-
1755920354000,6456.07,-,-
1755920355000,6455.316,-,-
1755920356000,6457.391,-,-
1755920357000,-,-,-
1755920358000,-,-,-
1755920359000,-,-,-
1755920360000,6457.363,-,-
1755920361000,6457.336,-,-
1755920362000,6456.926,-,-
1755920363000,6456.797,-,-
1755920364000,6457.113,-,-
1755920365000,6457.449,-,-
1755920366000,6456.617,-,-
1755920367000,6456.426,-,-
1755920368000,6456.285,-,-
1755920369000,6453.668,-,-
1755920370000,6455.992,-,-
1755920371000,6455.402,-,-
1755920372000,6456.465,-,-
1755920373000,6456.465,-,-
1755920374000,6457.516,-,-
1755920375000,6456.848,-,-
1755920376000,6457.082,-,-
