timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756261888000,4678.541,1007.50585,1984.637,7.253906,-,-
1756261890000,4678.09,1007.95705,1984.637,7.253906,-,-
1756261892000,4677.787,1008.25975,1984.631,7.2597655,-,-
1756261894000,4677.9235,1008.1113,1984.637,7.265625,-,-
1756261896000,4677.83,1008.2051,1984.637,7.265625,-,-
1756261898000,4678.193,1007.8418,1984.637,7.265625,-,-
1756261900000,4672.828,1013.209,1984.635,7.265625,-,-
1756261902000,6314.3985,1003.5625,359.1055,0.8710938,-,-
1756261904000,6078.2325,1125.0703,472.584,2.050781,-,-
1756261906000,5669.09,1361.13085,645.25585,2.460938,-,-
1756261908000,4927.176,2056.0195,692.28125,2.460938,-,-
1756261910000,4590.3085,2247.0625,838.09765,2.46875,-,-
1756261912000,4314.7815,2425.99,934.43555,2.730469,-,-
1756261914000,3940.031,2727.699,1007.46875,2.7382815,-,-
1756261916000,3562.709,2986.6935,1125.78905,2.746094,-,-
1756261918000,3078.6565,3369.9065,1226.6289,2.746094,-,-
1756261920000,2568.41,3654.01,1452.76365,2.753906,-,-
1756261922000,2191.176,3865.947,1618.05275,2.761719,-,-
1756261924000,1901.85355,4155.0875,1618.2344,2.761719,-,-
1756261926000,1384.58375,4630.1565,1660.42005,2.777344,-,-
1756261928000,1559.31035,4404.908,1710.941,2.777344,-,-
1756261930000,1203.3867,4665.1055,1806.668,2.777344,-,-
1756261932000,965.2969,4872.9025,1835.6605,4.078125,-,-
1756261934000,947.1504,4879.131,1847.578,4.078125,-,-
1756261936000,947.69925,4878.5645,1847.58,4.09375,-,-
1756261938000,946.4922,4879.75,1847.6015,4.09375,-,-
1756261940000,946.78515,4879.4495,1847.609,4.09375,-,-
1756261942000,948.98825,4877.238,1847.609,4.101562,-,-
1756261944000,947.57815,4878.6485,1847.609,4.101562,-,-
1756261946000,948.2754,4877.9475,1847.609,4.105469,-,-
1756261948000,947.36135,4878.787,1847.684,4.105469,-,-
1756261950000,947.54295,4878.6055,1847.684,4.105469,-,-
1756261952000,939.8867,4883.256,1850.5255,4.2695315,-,-
1756261954000,933.78515,4886.3515,1853.367,4.433594,-,-
1756261956000,931.04295,4888.4395,1854.0215,4.433594,-,-
1756261958000,932.7715,4886.514,1854.211,4.441406,-,-
1756261960000,932.5332,4886.744,1854.219,4.441406,-,-
1756261962000,2274.289,4884.158,514.74605,4.7441405,-,-
1756261964000,2255.74,4884.5685,530.03905,7.589844,-,-
1756261966000,2255.582,4884.5665,530.0547,7.734375,-,-
1756261968000,2250.613,4889.201,530.2441,7.878906,-,-
1756261970000,2248.2775,4891.377,530.40425,7.878906,-,-
1756261972000,2247.1365,4892.5095,530.4082,7.8828125,-,-
1756261974000,2248.131,4891.508,530.41215,7.886719,-,-
1756261976000,2246.998,4892.6385,530.4141,7.886719,-,-
1756261978000,2247.191,4892.4415,530.4141,7.890625,-,-
1756261980000,2247.6095,4892.0195,530.4141,7.894531,-,-
1756261982000,2247.818,4891.807,530.418,7.894531,-,-
1756261984000,2247.967,4891.6425,530.4336,7.894531,-,-
1756261986000,2248.961,4890.529,530.4824,7.9648435,-,-
1756261988000,2248.914,4890.4025,530.5859,8.035156,-,-
1756261990000,2248.6875,4890.629,530.5859,8.035156,-,-
1756261992000,2248.791,4890.5155,530.58785,8.0429685,-,-
1756261994000,2249.65,4889.65,530.5898,8.046875,-,-
1756261996000,2249.822,4889.4785,530.5898,8.046875,-,-
1756261998000,2250.547,4888.746,530.5898,8.054688,-,-
1756262000000,2241.969,4891.963,535.93945,8.0664065,-,-
1756262002000,1998.75,5054.2285,616.87695,8.082031,-,-
1756262004000,1667.9219,5371.258,630.666,8.0917965,-,-
