timestamp,Committed_AS (mebibytes),anomaly%,annotations
1755920495000,14325.574,-,-
1755920496000,14325.574,-,-
1755920497000,14325.574,-,-
1755920498000,14325.574,-,-
1755920499000,14325.574,-,-
1755920500000,-,-,-
1755920501000,-,-,-
1755920502000,-,-,-
1755920503000,14325.574,-,-
1755920504000,14325.574,-,-
1755920505000,14325.574,-,-
1755920506000,14325.574,-,-
1755920507000,14325.574,-,-
1755920508000,14325.574,-,-
1755920509000,14325.574,-,-
1755920510000,14325.574,-,-
1755920511000,14325.574,-,-
1755920512000,14325.574,-,-
1755920513000,14325.574,-,-
1755920514000,14325.574,-,-
1755920515000,14325.574,-,-
1755920516000,14325.574,-,-
1755920517000,14325.574,-,-
1755920518000,14325.574,-,-
1755920519000,14325.574,-,-
1755920520000,14325.574,-,-
1755920521000,14325.574,-,-
1755920522000,14325.574,-,-
1755920523000,14325.574,-,-
1755920524000,14325.574,-,-
1755920525000,14325.574,-,-
1755920526000,14325.574,-,-
1755920527000,14326.441,-,-
1755920528000,14403.445,-,-
1755920529000,14423.332,-,-
1755920530000,14443.332,-,-
1755920531000,14443.332,-,-
1755920532000,14495.426,-,-
1755920533000,14581.492,-,-
1755920534000,14605.867,-,-
1755920535000,14645.93,-,-
1755920536000,-,-,-
1755920537000,-,-,-
1755920538000,-,-,-
1755920539000,14649.934,-,-
1755920540000,14653.992,-,-
1755920541000,14654.055,-,-
1755920542000,14654.336,-,-
1755920543000,14654.117,-,-
1755920544000,14654.246,-,-
1755920545000,14654.309,-,-
1755920546000,14655.238,-,-
1755920547000,14654.496,-,-
1755920548000,14654.559,-,-
1755920549000,14655.301,-,-
1755920550000,14654.621,-,-
1755920551000,14654.621,-,-
1755920552000,14654.684,-,-
1755920553000,14655.215,-,-
1755920554000,14654.684,-,-
1755920555000,14654.812,-,-
1755920556000,14654.875,-,-
1755920557000,14654.875,-,-
1755920558000,14655,-,-
1755920559000,14655.062,-,-
1755920560000,14655.281,-,-
1755920561000,14655.125,-,-
1755920562000,14655.188,-,-
1755920563000,14655.996,-,-
1755920564000,14655.379,-,-
1755920565000,14655.379,-,-
1755920566000,14655.379,-,-
1755920567000,14655.379,-,-
1755920568000,14655.379,-,-
1755920569000,14655.379,-,-
1755920570000,14655.441,-,-
1755920571000,14655.441,-,-
1755920572000,-,-,-
1755920573000,-,-,-
1755920574000,-,-,-
1755920575000,14694.941,-,-
1755920576000,14735.051,-,-
1755920577000,14655.445,-,-
1755920578000,14655.32,-,-
1755920579000,14655.383,-,-
1755920580000,14655.445,-,-
1755920581000,14655.441,-,-
1755920582000,14654.898,-,-
1755920583000,14654.961,-,-
1755920584000,14654.961,-,-
1755920585000,14654.961,-,-
1755920586000,14654.965,-,-
1755920587000,14654.965,-,-
1755920588000,14654.965,-,-
1755920589000,14654.965,-,-
1755920590000,14663.18,-,-
1755920591000,14663.18,-,-
1755920592000,14663.18,-,-
1755920593000,14653.406,-,-
1755920594000,14653.406,-,-
1755920595000,14653.406,-,-
1755920596000,14653.406,-,-
1755920597000,14653.406,-,-
1755920598000,14653.406,-,-
1755920599000,14653.406,-,-
1755920600000,14653.406,-,-
1755920601000,14653.406,-,-
1755920602000,14653.406,-,-
